Title,Year
229. Nettet,1976
230. Sammenhold,1986
231. Troldmanden fra Oz,1939
232. De utrolige,2004
233. Hachiko - en ven for livet,2009
234. The Handmaiden,2016
235. Ind i vildmarken,2007
236. Min far og min søn,2005
237. The Sound of Music,1965
238. Vredens druer,1940
239. Slaget om Algier,1966
240. En ny dag truer,1993
241. At være eller ikke være,1942
242. Love Is a Bitch,2000
243. Rebecca,1940
244. Skrappe Luke,1967
245. Drengen og jern-kæmpen,1999
246. Niceville,2011
247. Det hændte en nat,1934
248. Aladdin,1992
249. Danser med ulve,1990
"250. Paris, Texas",1984
